S.no,Name,Party,Constituency
1,Malik Muhammad Uzair Khan (Chairman),PML(N),NA-69
2,Mr Murad Saeed,PTI,NA-29
3,Malik Ihtebar Khan,PML(N),NA-58
4,Chaudhry Khalid Javaid Warraich,PML(N),NA-92
6,Muhammad Moeen Wattoo,PML(N),NA-147
7,Syed Waseem Hussain,MQM,NA-220
8,Imran Zafar Laghari,PPPP,NA-233
10,Mr. Abdul Qahar Khan Wadan,PMAP,NA-262
11,Mussarat Ahmadzeb,PTI,(Women)
12,Tahira Aurangzeb,PML(N),(Women)
13,Mst. Kiran Imran Dar,PML(N),(Women)
14,Shaista Pervaiz,PML(N),(Women)
15,Naeema Kishwar Khan,JUI-F,(Women)
16,Nighat Parveen,PML(N),(Women)
17,Khalida Mansoor,PML(N),(Women)
18,Seema Mohiuddin Jameeli,PML(N),(Women)
19,Shahnaz Saleem Malik,PML(N),(Women)
20,Maiza Hameed,PML(N),(Women)
