S.no,Name,Party,Committees,NA
1,Rana Muhammad Hayat Khan (Chairman),PML(N),[Cabinet Secretariat],NA-142
2,Mr. Asad Umar,PTI,"[Cabinet Secretariat,Finance, Revenue and Economic Affairs]",NA-48
3,Malik Ibrar Ahmed,PML(N),"[Cabinet Secretariat,Planning and Development]",NA-54
4,Chaudhry Khalid Javaid Warraich,PML(N),"[Cabinet Secretariat,Climate Change,Communications,Energy]",NA-92
5,Sardar Muhammad Irfan Dogar,PML(N),"[Cabinet Secretariat,Planning and Development,Railways]",NA-134
6,Sardar Mansab Ali Dogar,PML(N),"[Cabinet Secretariat,Industries and Production,Water Resources]",NA-164
7,Dr. Khalid Maqbool Siddiqui,MQM,"[Cabinet Secretariat,Federal Education and Professional Training]",NA-219
8,Roshan Din Junejo,PPPP,"[Cabinet Secretariat,Energy,Narcotics Control]",NA-236
9,Syed Ali Raza Abidi,MQM,"[Cabinet Secretariat,Information Technology and Telecommunication,Maritime Affairs]",NA-251
10,Mr. Abdul Hakeem Baloch,PPPP,"[Cabinet Secretariat,Industries and Production]",NA-258
11,Moulvi Agha Muhammad,JUI-F,"[Cabinet Secretariat,Kashmir Affairs and Gilgit-Baltistan,Religious Affairs and Inter-faith Harmony]",NA-261
12,Nafeesa Inayatullah Khan Khattak,PTI,"[Cabinet Secretariat,Parliamentary Affairs]",(Women)
13,Parveen Masood Bhatti,PML(N),"[Cabinet Secretariat,Information, Broadcasting, National History and Literary Heritage,National Food Security and Research]",(Women)
14,Mrs. Mahreen Razaque Bhutto,PPPP,"[Cabinet Secretariat,Commerce and Textile,Inter-Provincial Coordination,National Health Services, Regulations and Coordination]",(Women)
15,Nighat Parveen,PML(N),"[Cabinet Secretariat,Climate Change,Housing and Works,Postal Services]",(Women)
16,Seema Mohiuddin Jameeli,PML(N),"[Cabinet Secretariat,Climate Change,Commerce and Textile,Maritime Affairs]",(Women)
17,Shahnaz Saleem Malik,PML(N),"[Cabinet Secretariat,Climate Change,National Food Security and Research]",(Women)
18,Farhana Qamar,PML(N),"[Cabinet Secretariat,Human Rights,Information Technology and Telecommunication]",(Women)
19,Marriyum Aurangzeb,PML(N),"[Cabinet Secretariat,Information, Broadcasting, National History and Literary Heritage]",(Women)
20,Malik Muhammad Uzair Khan (Chairman),PML(N),[Climate Change],NA-69
21,Mr Murad Saeed,PTI,"[Climate Change,Information, Broadcasting, National History and Literary Heritage]",NA-29
22,Malik Ihtebar Khan,PML(N),"[Climate Change,Energy,Parliamentary Affairs,Water Resources]",NA-58
23,Muhammad Moeen Wattoo,PML(N),"[Climate Change,Defence Production,Law and Justice]",NA-147
24,Syed Waseem Hussain,MQM,"[Climate Change,Kashmir Affairs and Gilgit-Baltistan,Water Resources]",NA-220
25,Imran Zafar Laghari,PPPP,"[Climate Change,Housing and Works,Information, Broadcasting, National History and Literary Heritage,Privatization]",NA-233
26,Mr. Abdul Qahar Khan Wadan,PMAP,"[Climate Change,National Health Services, Regulations and Coordination,Water Resources]",NA-262
27,Mussarat Ahmadzeb,PTI,"[Climate Change,Commerce and Textile]",(Women)
28,Tahira Aurangzeb,PML(N),"[Climate Change,Commerce and Textile,Housing and Works,Postal Services]",(Women)
29,Mst. Kiran Imran Dar,PML(N),"[Climate Change,Religious Affairs and Inter-faith Harmony]",(Women)
30,Shaista Pervaiz,PML(N),"[Climate Change,Federal Education and Professional Training,National Health Services, Regulations and Coordination]",(Women)
31,Naeema Kishwar Khan,JUI-F,"[Climate Change,Foreign Affairs,Information, Broadcasting, National History and Literary Heritage,Interior,Narcotics Control]",(Women)
32,Khalida Mansoor,PML(N),"[Climate Change,Finance, Revenue and Economic Affairs,Housing and Works,National Food Security and Research]",(Women)
33,Maiza Hameed,PML(N),"[Climate Change,Communications,Privatization]",(Women)
34,Mr Siraj Muhammad Khan (Chairman),PTI,[Commerce and Textile],NA-6
35,Alhaj Shah Jee Gul Afridi,IND,"[Commerce and Textile,Industries and Production]",NA-45
36,Choudhry Muhammad Shahbaz Babar,PML(N),"[Commerce and Textile,National Health Services, Regulations and Coordination]",NA-79
37,Ch Asad Ur Rehman,PML(N),"[Commerce and Textile,Statistics]",NA-94
38,Mian Muhammad Rasheed,PML(N),[Commerce and Textile],NA-115
39,Mian Javid Latif,PML(N),"[Commerce and Textile,Privatization]",NA-133
40,Dr. Shezra Mansab Ali Khan Kharal,PML(N),"[Commerce and Textile,Finance, Revenue and Economic Affairs,Statistics]",NA-137
41,Waseem Akhtar Shaikh,PML(N),"[Commerce and Textile,Information, Broadcasting, National History and Literary Heritage,Narcotics Control]",NA-139
42,Makhdoom Syed Ali Hassan Gillani,PML(N),"[Commerce and Textile,Interior,Science and Technology]",NA-183
43,Nazir Ahmed Bughio,PPPP,"[Commerce and Textile,Communications]",NA-205
44,Ms Shazia Marri,PPPP,"[Commerce and Textile,Information Technology and Telecommunication]",NA-235
45,Zeb Jaffar,PML(N),"[Commerce and Textile,Information, Broadcasting, National History and Literary Heritage]",(Women)
46,Sajida Begum,PTI,"[Commerce and Textile,Industries and Production]",(Women)
47,Sanjay Perwani,MQM,"[Commerce and Textile,Communications,Defence]",(Minority)
48,Dr. Fouzia Hameed,MQM,"[Commerce and Textile,National Food Security and Research]",(Women)
49,Shazadi Tiwana,PML(N),[Commerce and Textile],(Women)
50,Muhammad Muzammil Qureshi (Chairman),MQM,[Communications],NA-253
51,Engr. Hamid-ul-Haq Khalil,PTI,"[Communications,Postal Services,Railways]",NA-2
52,Mr Usman Khan Tarrakai,AJIP,"[Communications,Science and Technology]",NA-12
53,Mr. Sar Zamin Khan,PML(N),"[Communications,Science and Technology,Statistics]",NA-23
54,Mr Salim Rehman,PTI,"[Communications,Water Resources]",NA-30
55,Sahibzada Tariq Ullah,JI,"[Communications,Privatization,States and Frontier Regions]",NA-33
56,Najaf Abbas Sial,PML(N),[Communications],NA-91
57,Muhammad Riaz Malik,PML(N),"[Communications,Privatization,Railways]",NA-118
58,Muhammad Iqbal Shah,PML(N),"[Communications,Industries and Production,National Health Services, Regulations and Coordination]",NA-154
59,Sardar Muhammad Jaffar Khan Leghari,PML(N),"[Communications,Finance, Revenue and Economic Affairs]",NA-174
60,Mir Shabbir Ali Bijarani,PPPP,"[Communications,Defence Production]",NA-209
61,Molana Qamar ud Din,JUI-F,[Communications],NA-269
62,Dr. Darshan,PML(N),[Communications],(Minority)
63,Mst. Naseema Hafeez Panezai,PMAP,"[Communications,Housing and Works,Human Rights,Railways]",(Women)
64,Ramesh Lal,PPPP,"[Communications,Railways,Religious Affairs and Inter-faith Harmony]",(Minority)
65,Shaikh Rohale Asghar (Chairman),PML(N),[Defence],NA-124
66,Sardar Muhammad Shafqat Hayat Khan,PML(N),"[Defence,Foreign Affairs,Inter-Provincial Coordination]",NA-68
67,Lt. Col. (R) Ghulam Rasool Sahi,PML(N),"[Defence,Privatization,Water Resources]",NA-75
68,Sheikh Muhammad Akram,PML(N),"[Defence,Interior,Parliamentary Affairs]",NA-89
69,Ch. Pervez Elahi,PML,[Defence],NA-105
70,Shafqat Mahmood,PTI,[Defence],NA-126
71,Malik Muhammad Amir Dogar,IND,"[Defence,Information, Broadcasting, National History and Literary Heritage,Maritime Affairs]",NA-149
72,Saeed Ahmed Khan Manais,PML(N),"[Defence,Finance, Revenue and Economic Affairs,Inter-Provincial Coordination]",NA-170
73,Tahir Bashir Cheema,PML(N),"[Defence,Science and Technology]",NA-190
74,Muhammad Ijaz Ul Haq,PML-Z,[Defence],NA-191
75,Sheikh Fayyaz Ud Din,PML(N),"[Defence,Finance, Revenue and Economic Affairs,States and Frontier Regions]",NA-193
76,Makhdoom Syed Mustafa Mehmood,PPPP,"[Defence,Finance, Revenue and Economic Affairs,Statistics]",NA-195
77,Nawab Ali Wassan,PPPP,"[Defence,Water Resources]",NA-215
78,Dr. Fehmida Mirza,PPPP,"[Defence,Human Rights]",NA-225
79,Mahmood Khan Achakzai,PMAP,"[Defence,Foreign Affairs]",NA-259
80,Isphanyar M. Bhandara,PML(N),"[Defence,Finance, Revenue and Economic Affairs]",(Minority)
81,Kishwer Zehra,MQM,"[Defence,Human Rights]",(Women)
82,Surriya Asghar,PML(N),"[Defence,Federal Education and Professional Training,Human Rights]",(Women)
83,Dr. Shireen Mehrunnisa Mazari,PTI,"[Defence,Foreign Affairs]",(Women)
84,Sohail Mansoor Khawaja (Chairman),MQM,[Defence Production],NA-240
85,Mr Shehryar Afridi,PTI,"[Defence Production,Energy]",NA-14
86,Mr Bilal Rehman,IND,"[Defence Production,States and Frontier Regions]",NA-36
87,Mr Sajid Hussain Turi,IND,"[Defence Production,Railways]",NA-37
88,Chudhary Hamid Hameed,PML(N),"[Defence Production,Federal Education and Professional Training,Maritime Affairs]",NA-66
89,Syed Muhammad Ashiq Hussain Shah,PML(N),"[Defence Production,Industries and Production]",NA-145
90,Abdul Rehman Khan Kanju,PML(N),[Defence Production],NA-155
91,Muhammad Khan Daha,PML(N),"[Defence Production,Foreign Affairs,Information, Broadcasting, National History and Literary Heritage]",NA-157
92,Sardar Muhammad Amjad Farooq Khan Khosa,PML(N),"[Defence Production,Law and Justice]",NA-171
93,Malik Sultan Mehmood Hanjra,PML(N),"[Defence Production,Interior,Railways]",NA-176
94,Rafique Ahmed Jamali,PPPP,"[Defence Production,Energy,Inter-Provincial Coordination]",NA-232
95,Dr. Ramesh Kumar Vankwani,PML(N),"[Defence Production,Inter-Provincial Coordination,National Health Services, Regulations and Coordination]",(Minority)
96,Bhawan Das,PML(N),"[Defence Production,Postal Services,Religious Affairs and Inter-faith Harmony]",(Minority)
97,Aaisha Gulalai,PTI,"[Defence Production,States and Frontier Regions]",(Women)
98,Aasiya Nasir,JUI-F,"[Defence Production,Planning and Development,Postal Services]",(Minority)
99,Iffat Liaqat,PML(N),"[Defence Production,States and Frontier Regions]",(Women)
100,Amra Khan,PML(N),"[Defence Production,Federal Education and Professional Training,Human Rights]",(Women)
101,Rana Afzaal Hussain (Chairman),PML(N),[Energy],NA-131
102,Dr. Imran Khattak,PTI,"[Energy,Federal Education and Professional Training,Privatization]",NA-5
103,Mr Akram Khan Durrani,JUI-F,[Energy],NA-26
104,Muhammad Afzal Khokhar,PML(N),[Energy],NA-128
105,Rana Afzaal Hussain,PML(N),"[Energy,Water Resources]",NA-131
106,Rasheed Ahmad Khan,PML(N),"[Energy,Parliamentary Affairs,Railways]",NA-140
107,Rana Muhammad Ishaq Khan,PML(N),"[Energy,Water Resources]",NA-141
108,Mr. Ghulam Rabbani Khar,PPPP,"[Energy,Railways]",NA-177
109,Syed Muhammad Saqlain Shah Bukhari,PML(N),"[Energy,Railways]",NA-182
110,Nawab Muhammad Yousuf Talpur,PPPP,"[Energy,Interior,Water Resources]",NA-228
111,Pir Bux Junejo,PML-F,"[Energy,Religious Affairs and Inter-faith Harmony]",NA-234
112,Col. (Retd) Amirullah Marwat (Chairman),PTI,[Federal Education and Professional Training],NA-27
113,Mr Muhammad Nazir Khan,PML(N),"[Federal Education and Professional Training,States and Frontier Regions]",NA-40
114,Mr Shahab Ud Din Khan,PML(N),"[Federal Education and Professional Training,Housing and Works,Narcotics Control]",NA-44
115,Dr. Zulfiqar Ali Bhatti,PML(N),"[Federal Education and Professional Training,National Health Services, Regulations and Coordination]",NA-67
116,Waheed Alam Khan,PML(N),"[Federal Education and Professional Training,Religious Affairs and Inter-faith Harmony]",NA-127
117,Sardar Kamal Khan Bangulzai,NP,"[Federal Education and Professional Training,Overseas Pakistanis and Human Resource Development]",NA-268
118,Ms. Suraiya Jatoi,PPPP,"[Federal Education and Professional Training,Overseas Pakistanis and Human Resource Development,States and Frontier Regions]",(Women)
119,Shahida Akhtar Ali,JUI-F,"[Federal Education and Professional Training,Religious Affairs and Inter-faith Harmony]",(Women)
120,Mrs. Shahida Rehmani,PPPP,"[Federal Education and Professional Training,Housing and Works,Parliamentary Affairs,Postal Services]",(Women)
121,Asyia Naz Tanoli,PML(N),"[Federal Education and Professional Training,Human Rights,Kashmir Affairs and Gilgit-Baltistan,Law and Justice]",(Women)
122,Rida Khan,PML(N),"[Federal Education and Professional Training,National Health Services, Regulations and Coordination]",(Women)
123,Dr. Nikhat Shakeel Khan,MQM,"[Federal Education and Professional Training,National Health Services, Regulations and Coordination]",(Women)
124,Dr. Shazia Sobia,PPPP,"[Federal Education and Professional Training,Human Rights,Kashmir Affairs and Gilgit-Baltistan,Parliamentary Affairs]",(Women)
125,Phyllis Azeem,PML(N),"[Federal Education and Professional Training,Human Rights,Railways]",(Women)
126,Qaiser Ahmad Sheikh (Chairman),PML(N),"[Finance, Revenue and Economic Affairs]",NA-86
127,Mr Aftab Ahmad Khan Sherpao,QWP-S,"[Finance, Revenue and Economic Affairs,Foreign Affairs]",NA-8
128,Mian Abdul Mannan,PML(N),"[Finance, Revenue and Economic Affairs,Law and Justice]",NA-83
129,Rana Shamim Ahmed Khan,PML(N),"[Finance, Revenue and Economic Affairs]",NA-112
130,Syed Naveed Qamar,PPPP,"[Finance, Revenue and Economic Affairs]",NA-222
131,Abdul Rashid Godil,MQM,"[Finance, Revenue and Economic Affairs]",NA-252
132,Mr. Muhammad Ali Rashid,MQM,"[Finance, Revenue and Economic Affairs]",NA-254
133,Ms. Nafisa Shah,PPPP,"[Finance, Revenue and Economic Affairs,Foreign Affairs,Planning and Development,Statistics]",(Women)
134,Leila Khan,PML(N),"[Finance, Revenue and Economic Affairs,Information, Broadcasting, National History and Literary Heritage]",(Women)
135,Arifa Khalid Parvez,PML(N),"[Finance, Revenue and Economic Affairs,Information, Broadcasting, National History and Literary Heritage,Parliamentary Affairs]",(Women)
136,Shaza Fatima Khawaja,PML(N),"[Finance, Revenue and Economic Affairs,Planning and Development]",(Women)
137,Mr Amir Haider Khan,ANP,"[Foreign Affairs,States and Frontier Regions]",NA-9
138,Muhammad Asim Nazir,PML(N),"[Foreign Affairs,Industries and Production,Inter-Provincial Coordination]",NA-77
139,Rana Muhammad Afzal Khan,PML(N),"[Foreign Affairs,Inter-Provincial Coordination,Law and Justice,Overseas Pakistanis and Human Resource Development]",NA-82
140,Sahibzada Muhammad Nazeer Sultan,PML(N),"[Foreign Affairs,Industries and Production]",NA-90
141,Makhdoom Shah Mahmood Hussain Qureshi,PTI,"[Foreign Affairs,National Food Security and Research]",NA-150
142,Mian Najeebuddin Awaisi,PML(N),"[Foreign Affairs,Overseas Pakistanis and Human Resource Development]",NA-184
143,Ghous Bux Khan Mahar,PML-F,[Foreign Affairs],NA-203
144,Asghar Ali Shah,PPPP,"[Foreign Affairs,Kashmir Affairs and Gilgit-Baltistan]",NA-212
145,Doctor Muhammad Farooq Sattar,MQM,"[Foreign Affairs,Information Technology and Telecommunication]",NA-249
146,Tahmina Daultana,PML(N),"[Foreign Affairs,Interior,Privatization]",(Women)
147,Mian Abdul Mannan (Chairman),PML(N),[Housing and Works],NA-83
148,Mr Sajid Nawaz Khan,PTI,"[Housing and Works,Human Rights]",NA-3
149,Mr Ghulam Sarwar Khan,PTI,[Housing and Works],NA-53
150,Mr Muhammad Zain Elahi,IND,"[Housing and Works,Information Technology and Telecommunication]",NA-59
151,Mr Ghulam Muhammad Lali,PML(N),"[Housing and Works,Postal Services,States and Frontier Regions]",NA-87
152,Nawabzada Mazher Ali,PML(N),"[Housing and Works,Statistics]",NA-104
153,Nasir Iqbal Bosal,PML(N),"[Housing and Works,Kashmir Affairs and Gilgit-Baltistan,Postal Services]",NA-109
154,Rana Zahid Hussain Khan,PML(N),"[Housing and Works,Railways]",NA-166
155,Sahibzada Faiz Ul Hassan,PML(N),"[Housing and Works,Narcotics Control,Religious Affairs and Inter-faith Harmony]",NA-181
