S.no,Name,Party,Constituency
1,Mr Siraj Muhammad Khan (Chairman),PTI,NA-6
2,Alhaj Shah Jee Gul Afridi,IND,NA-45
3,Choudhry Muhammad Shahbaz Babar,PML(N),NA-79
4,Ch Asad Ur Rehman,PML(N),NA-94
5,Mian Muhammad Rasheed,PML(N),NA-115
6,Mian Javid Latif,PML(N),NA-133
7,Dr. Shezra Mansab Ali Khan Kharal,PML(N),NA-137
8,Waseem Akhtar Shaikh,PML(N),NA-139
9,Makhdoom Syed Ali Hassan Gillani,PML(N),NA-183
10,Nazir Ahmed Bughio,PPPP,NA-205
11,Ms Shazia Marri,PPPP,NA-235
12,Zeb Jaffar,PML(N),(Women)
13,Mussarat Ahmadzeb,PTI,(Women)
14,Tahira Aurangzeb,PML(N),(Women)
15,Sajida Begum,PTI,(Women)
16,Mrs. Mahreen Razaque Bhutto,PPPP,(Women)
17,Sanjay Perwani,MQM,(Minority)
18,Dr. Fouzia Hameed,MQM,(Women)
19,Seema Mohiuddin Jameeli,PML(N),(Women)
20,Shazadi Tiwana,PML(N),(Women)
