S.no,Name,Party,Constituency
1,Muhammad Muzammil Qureshi (Chairman),MQM,NA-253
2,Engr. Hamid-ul-Haq Khalil,PTI,NA-2
3,Mr Usman Khan Tarrakai,AJIP,NA-12
4,Mr. Sar Zamin Khan,PML(N),NA-23
5,Mr Salim Rehman,PTI,NA-30
6,Sahibzada Tariq Ullah,JI,NA-33
7,Najaf Abbas Sial,PML(N),NA-91
8,Chaudhry Khalid Javaid Warraich,PML(N),NA-92
9,Muhammad Riaz Malik,PML(N),NA-118
10,Muhammad Iqbal Shah,PML(N),NA-154
11,Sardar Muhammad Jaffar Khan Leghari,PML(N),NA-174
12,Nazir Ahmed Bughio,PPPP,NA-205
13,Mir Shabbir Ali Bijarani,PPPP,NA-209
14,Molana Qamar ud Din,JUI-F,NA-269
15,Dr. Darshan,PML(N),(Minority)
16,Mst. Naseema Hafeez Panezai,PMAP,(Women)
17,Ramesh Lal,PPPP,(Minority)
18,Sanjay Perwani,MQM,(Minority)
20,Maiza Hameed,PML(N),(Women)
