S.no,Name,Party,Constituency
1,Rana Afzaal Hussain (Chairman),PML(N),NA-131
2,Dr. Imran Khattak,PTI,NA-5
3,Mr Shehryar Afridi,PTI,NA-14
4,Mr Akram Khan Durrani,JUI-F,NA-26
5,Malik Ihtebar Khan,PML(N),NA-58
6,Chaudhry Khalid Javaid Warraich,PML(N),NA-92
7,Muhammad Afzal Khokhar,PML(N),NA-128
8,Rana Afzaal Hussain,PML(N),NA-131
9,Rasheed Ahmad Khan,PML(N),NA-140
10,Rana Muhammad Ishaq Khan,PML(N),NA-141
11,Mr. Ghulam Rabbani Khar,PPPP,NA-177
12,Syed Muhammad Saqlain Shah Bukhari,PML(N),NA-182
13,Nawab Muhammad Yousuf Talpur,PPPP,NA-228
14,Rafique Ahmed Jamali,PPPP,NA-232
15,Pir Bux Junejo,PML-F,NA-234
16,Roshan Din Junejo,PPPP,NA-236
