S.no,Name,Party,Constituency
1,Col. (Retd) Amirullah Marwat (Chairman),PTI,NA-27
2,Dr. Imran Khattak,PTI,NA-5
3,Mr Muhammad Nazir Khan,PML(N),NA-40
4,Mr Shahab Ud Din Khan,PML(N),NA-44
5,Chudhary Hamid Hameed,PML(N),NA-66
6,Dr. Zulfiqar Ali Bhatti,PML(N),NA-67
7,Waheed Alam Khan,PML(N),NA-127
8,Dr. Khalid Maqbool Siddiqui,MQM,NA-219
9,Sardar Kamal Khan Bangulzai,NP,NA-268
10,Ms. Suraiya Jatoi,PPPP,(Women)
11,Shahida Akhtar Ali,JUI-F,(Women)
12,Shaista Pervaiz,PML(N),(Women)
13,Mrs. Shahida Rehmani,PPPP,(Women)
14,Asyia Naz Tanoli,PML(N),(Women)
15,Rida Khan,PML(N),(Women)
16,Dr. Nikhat Shakeel Khan,MQM,(Women)
17,Dr. Shazia Sobia,PPPP,(Women)
18,Surriya Asghar,PML(N),(Women)
19,Amra Khan,PML(N),(Women)
20,Phyllis Azeem,PML(N),(Women)
