S.no,Name,Party,Constituency
1,Qaiser Ahmad Sheikh (Chairman),PML(N),NA-86
2,Mr Aftab Ahmad Khan Sherpao,QWP-S,NA-8
3,Mr. Asad Umar,PTI,NA-48
4,Mian Abdul Mannan,PML(N),NA-83
5,Rana Shamim Ahmed Khan,PML(N),NA-112
6,Dr. Shezra Mansab Ali Khan Kharal,PML(N),NA-137
7,Saeed Ahmed Khan Manais,PML(N),NA-170
8,Sardar Muhammad Jaffar Khan Leghari,PML(N),NA-174
9,Sheikh Fayyaz Ud Din,PML(N),NA-193
10,Makhdoom Syed Mustafa Mehmood,PPPP,NA-195
11,Syed Naveed Qamar,PPPP,NA-222
12,Abdul Rashid Godil,MQM,NA-252
13,Mr. Muhammad Ali Rashid,MQM,NA-254
14,Ms. Nafisa Shah,PPPP,(Women)
15,Isphanyar M. Bhandara,PML(N),(Minority)
16,Khalida Mansoor,PML(N),(Women)
17,Leila Khan,PML(N),(Women)
18,Arifa Khalid Parvez,PML(N),(Women)
19,Shaza Fatima Khawaja,PML(N),(Women)
