S.no,Name,Party,Constituency
1,Mian Abdul Mannan (Chairman),PML(N),NA-83
2,Mr Sajid Nawaz Khan,PTI,NA-3
3,Mr Shahab Ud Din Khan,PML(N),NA-44
4,Mr Ghulam Sarwar Khan,PTI,NA-53
5,Mr Muhammad Zain Elahi,IND,NA-59
6,Mr Ghulam Muhammad Lali,PML(N),NA-87
7,Nawabzada Mazher Ali,PML(N),NA-104
8,Nasir Iqbal Bosal,PML(N),NA-109
9,Rana Zahid Hussain Khan,PML(N),NA-166
10,Sahibzada Faiz Ul Hassan,PML(N),NA-181
11,Mr. Faqir Sher Muhammad Bilaiani,PPPP,NA-229
12,Imran Zafar Laghari,PPPP,NA-233
13,Iqbal Muhammad Ali Khan,MQM,NA-256
14,Engineer Mohammad Usman Badaini,IND,NA-260
15,Mst. Naseema Hafeez Panezai,PMAP,(Women)
16,Tahira Aurangzeb,PML(N),(Women)
17,Nighat Parveen,PML(N),(Women)
18,Mrs. Shahida Rehmani,PPPP,(Women)
19,Khalida Mansoor,PML(N),(Women)
