S.no,Name,Party,Constituency
1,Mr. Babar Nawaz Khan (Chairman),PML(N),NA-19
2,Mr Sajid Nawaz Khan,PTI,NA-3
3,Sahibzada Muhammad Yaqub,JI,NA-34
4,Dr. Fehmida Mirza,PPPP,NA-225
5,Mr. Kanwar Naveed,MQM,NA-246
6,Sayed Essa Nori,BNP,NA-272
7,Kiran Haider,PML(N),(Women)
8,Mst. Naseema Hafeez Panezai,PMAP,(Women)
9,Mrs. Aliya Kamran,JUI-F,(Women)
10,Mrs. Musarat Rafique Mahesar,PPPP,(Women)
11,Begum Tahira Bukhari,PML(N),(Women)
12,Kishwer Zehra,MQM,(Women)
13,Asyia Naz Tanoli,PML(N),(Women)
14,Dr. Shazia Sobia,PPPP,(Women)
15,Surriya Asghar,PML(N),(Women)
16,Farhana Qamar,PML(N),(Women)
17,Zahra Wadood Fatemi,PML(N),(Women)
18,Amra Khan,PML(N),(Women)
19,Phyllis Azeem,PML(N),(Women)
20,Munaza Hassan,PTI,(Women)
