S.no,Name,Party,Constituency
1,Mr. Asad Umar (Chairman),PTI,NA-48
2,Maulana Muhammad Gohar Shah,JUI-F,NA-7
3,Mr Iftikhar ud Din,APML,NA-32
4,Alhaj Shah Jee Gul Afridi,IND,NA-45
5,Muhammad Asim Nazir,PML(N),NA-77
6,Qaiser Ahmad Sheikh,PML(N),NA-86
7,Sahibzada Muhammad Nazeer Sultan,PML(N),NA-90
8,Chaudhry Riaz-ul-Haq,PML(N),NA-144
9,Syed Muhammad Ashiq Hussain Shah,PML(N),NA-145
10,Muhammad Iqbal Shah,PML(N),NA-154
11,Syed Imran Ahmad Shah,PML(N),NA-160
12,Sardar Mansab Ali Dogar,PML(N),NA-164
13,Syed Muhammad Asghar,PML(N),NA-188
14,Sardar Kamal Khan Chang,PPPP,NA-224
15,Pir Noor Muhammad Shah Jeelani,PPPP,NA-230
17,Mr. Abdul Hakeem Baloch,PPPP,NA-258
18,Zafarullah Khan Jamali,PML(N),NA-266
19,Sajida Begum,PTI,(Women)
