S.no,Name,Party,Constituency
1,Capt (R) Muhammad Safdar (Chairman),PML(N),NA-21
2,Engineer Dawar Khan Kundi,PTI,NA-25
3,Mr Muhammad Zain Elahi,IND,NA-59
4,Major Rtd Tahir Iqbal,PML(N),NA-60
5,Mr Amjid Ali Khan,PTI,NA-72
6,Mian Muhammad Farooq,PML(N),NA-80
7,Mehar Ishtiaq Ahmad,PML(N),NA-121
8,Ms. Shazia Mubashar,PML(N),NA-129
9,Chaudhary Muhammad Tufail,PML(N),NA-162
10,Nauman Islam Shaikh,PPPP,NA-198
11,Sardar Kamal Khan Chang,PPPP,NA-224
12,Ms Shazia Marri,PPPP,NA-235
13,Doctor Muhammad Farooq Sattar,MQM,NA-249
14,Syed Ali Raza Abidi,MQM,NA-251
16,Farhana Qamar,PML(N),(Women)
17,Shazia Sohail Mir,PML(N),(Women)
18,Zahra Wadood Fatemi,PML(N),(Women)
