S.no,Name,Party,Constituency
1,Aslam Bodla (Chairman),PML(N),NA-158
2,Dr. Muhammad Azhar Khan Jadoon,PTI,NA-17
3,Mr Murad Saeed,PTI,NA-29
4,Mian Muhammad Farooq,PML(N),NA-80
5,Ms Ghulam Bibi Bharwana,PML(N),NA-88
6,Waseem Akhtar Shaikh,PML(N),NA-139
7,Malik Muhammad Amir Dogar,IND,NA-149
8,Muhammad Khan Daha,PML(N),NA-157
9,Tahir Iqbal Ch,PML(N),NA-169
10,Syed Amir Ali Shah Jamote,PPPP,NA-221
11,Imran Zafar Laghari,PPPP,NA-233
12,Zeb Jaffar,PML(N),(Women)
13,Parveen Masood Bhatti,PML(N),(Women)
14,Naeema Kishwar Khan,JUI-F,(Women)
15,Saman Sultana Jafri,MQM,(Women)
16,Leila Khan,PML(N),(Women)
17,Arifa Khalid Parvez,PML(N),(Women)
18,Marriyum Aurangzeb,PML(N),(Women)
19,Mrs. Belum Hasnain,PPPP,(Women)
