S.no,Name,Party,Constituency
1,Mr. Abdul Qahar Khan Wadan (Chairman),PMAP,NA-262
2,Mr Siraj Muhammad Khan,PTI,NA-6
3,Mr Mujahid Ali,PTI,NA-11
4,Sardar Muhammad Shafqat Hayat Khan,PML(N),NA-68
5,Muhammad Asim Nazir,PML(N),NA-77
6,Rana Muhammad Afzal Khan,PML(N),NA-82
7,Rana Muhammad Hayat Khan,PML(N),NA-142
8,Chaudhary Nazeer Ahmad,PML(N),NA-167
9,Saeed Ahmed Khan Manais,PML(N),NA-170
10,Alam Dad Laleka,PML(N),NA-189
11,Mr. Aftab Shahban Mirani,PPPP,NA-202
12,Syed Kazim Ali Shah,PML-F,NA-217
13,Rafique Ahmed Jamali,PPPP,NA-232
14,Iqbal Muhammad Ali Khan,MQM,NA-256
15,Engineer Mohammad Usman Badaini,IND,NA-260
16,Khalid Hussain Magsi,PML(N),NA-267
17,Dr. Ramesh Kumar Vankwani,PML(N),(Minority)
18,Mrs. Mahreen Razaque Bhutto,PPPP,(Women)
19,Begum Tahira Bukhari,PML(N),(Women)
20,Sabiha Nazir,PML(N),(Women)
