S.no,Name,Party,Constituency
1,Rana Shamim Ahmed Khan (Chairman),PML(N),NA-112
2,Mr Khial Zaman Orakzai,PTI,NA-16
3,Mr Sher Akbar Khan,JI,NA-28
5,Sheikh Muhammad Akram,PML(N),NA-89
6,Mian Shahid Hussain Khan Bhatti,PML(N),NA-103
7,Syed Iftikhar Ul Hassan,PML(N),NA-113
8,Malik Abdul Ghaffar Dogar,PML(N),NA-148
9,Malik Sultan Mehmood Hanjra,PML(N),NA-176
10,Makhdoom Syed Ali Hassan Gillani,PML(N),NA-183
11,Nauman Islam Shaikh,PPPP,NA-198
12,Ehsan ur Rehman Mazari,PPPP,NA-210
13,Nawab Muhammad Yousuf Talpur,PPPP,NA-228
14,Mohammad Salman Khan Baloch,MQM,NA-239
15,Mr. Kanwar Naveed,MQM,NA-246
16,Dr. Arif Alvi,PTI,NA-250
17,Mir Dostain Khan Domki,PML(N),NA-265
18,Naeema Kishwar Khan,JUI-F,(Women)
19,Tahmina Daultana,PML(N),(Women)
