S.no,Name,Party,Constituency
1,Malik Ibrar Ahmed (Chairman),PML(N),NA-54
2,Mr Nasir Khan Khattak,PTI,NA-15
3,Mr. Babar Nawaz Khan,PML(N),NA-19
4,Mr Junaid Akbar,PTI,NA-35
5,Major Rtd Tahir Iqbal,PML(N),NA-60
6,Sardar Mumtaz Khan,PML(N),NA-61
7,Mr. Obaid Ullah Khan Shadi Khel,PML(N),NA-71
8,Ch. Abid Raza,PML(N),NA-107
9,Nasir Iqbal Bosal,PML(N),NA-109
10,Sohail Shoukat Butt,PML(N),NA-130
11,Malik Abdul Ghaffar Dogar,PML(N),NA-148
12,Syed Muhammad Asghar,PML(N),NA-188
13,Mian Imtiaz Ahmad,PML(N),NA-196
14,Asghar Ali Shah,PPPP,NA-212
15,Syed Waseem Hussain,MQM,NA-220
17,Moulvi Agha Muhammad,JUI-F,NA-261
18,Khalil George,PML(N),(Minority)
19,Asyia Naz Tanoli,PML(N),(Women)
20,Dr. Shazia Sobia,PPPP,(Women)
