S.no,Name,Party,Constituency
1,Chaudhary Muhammad Ashraf (Chairman),PML(N),NA-161
2,Mr Ali Muhammad Khan,PTI,NA-10
3,Mr Muhammad Tallal Chaudry,PML(N),NA-76
4,Rana Muhammad Afzal Khan,PML(N),NA-82
5,Mian Abdul Mannan,PML(N),NA-83
7,Justice (Retd) Iftikhar Ahmad Cheema,PML(N),NA-101
8,Muhammad Moeen Wattoo,PML(N),NA-147
9,Syed Imran Ahmad Shah,PML(N),NA-160
10,Sardar Muhammad Amjad Farooq Khan Khosa,PML(N),NA-171
11,S.A. Iqbal Qadri,MQM,NA-241
12,Dr. Arif Alvi,PTI,NA-250
13,Moulana Mohammad Khan Sherani,JUI-F,NA-264
14,Kiran Haider,PML(N),(Women)
16,Asyia Naz Tanoli,PML(N),(Women)
17,Sabiha Nazir,PML(N),(Women)
