S.no,Name,Party,Constituency
1,Syed Ghulam Mustafa Shah (Chairman),PPPP,NA-214
2,Mr Muhammad Jamal ud Din,JUI-F,NA-42
3,Chudhary Hamid Hameed,PML(N),NA-66
4,Chaudhry Mahmood Bashir Virk,PML(N),NA-97
5,Mehar Ishtiaq Ahmad,PML(N),NA-121
6,Sohail Shoukat Butt,PML(N),NA-130
7,Rana Muhammad Hayat Khan,PML(N),NA-142
8,Malik Muhammad Amir Dogar,IND,NA-149
10,Chaudhary Muhammad Tufail,PML(N),NA-162
11,Ch.Tariq Bashir Cheema,PML,NA-187
12,Mir Amer Ali Khan Magsi,PPPP,NA-206
13,Aijaz Hussain Jakhrani,PPPP,NA-208
14,Mr. Kanwar Naveed,MQM,NA-246
15,Syed Ali Raza Abidi,MQM,NA-251
16,Khalil George,PML(N),(Minority)
17,Lal Chand Malhi,PTI,(Minority)
18,Seema Mohiuddin Jameeli,PML(N),(Women)
19,Shaheen Shafiq,PML(N),(Women)
20,Romina Khurshid Alam,PML(N),(Women)
