S.no,Name,Party,Constituency
1,Khwaja Ghulam Rasool Koreja (Chairman),PPPP,NA-192
2,Dr. Muhammad Azhar Khan Jadoon,PTI,NA-17
3,Mr Sher Akbar Khan,JI,NA-28
4,Mr Shahab Ud Din Khan,PML(N),NA-44
5,Mr Qaisar Jamal,PTI,NA-47
6,Major Rtd Tahir Iqbal,PML(N),NA-60
7,Malik Shakir Bashir Awan,PML(N),NA-70
8,Ms Ghulam Bibi Bharwana,PML(N),NA-88
9,Rana Umer Nazir Khan,PML(N),NA-99
10,Mian Shahid Hussain Khan Bhatti,PML(N),NA-103
11,Chaudry Armaghan Subhani,PML(N),NA-111
12,Waseem Akhtar Shaikh,PML(N),NA-139
13,Chaudhry Riaz-ul-Haq,PML(N),NA-144
14,Sahibzada Faiz Ul Hassan,PML(N),NA-181
15,Mir Munawar Ali Talpur,PPPP,NA-227
16,Roshan Din Junejo,PPPP,NA-236
17,Sohail Mansoor Khawaja,MQM,NA-240
18,Naeema Kishwar Khan,JUI-F,(Women)
