S.no,Name,Party,Constituency
1,Malik Shakir Bashir Awan (Chairman),PML(N),NA-70
2,Capt (R) Muhammad Safdar,PML(N),NA-21
3,Syed Iftikhar Ul Hassan,PML(N),NA-113
4,Rao Muhammad Ajmal Khan,PML(N),NA-146
5,Makhdoom Shah Mahmood Hussain Qureshi,PTI,NA-150
7,Choudhary Iftikhar Nazir,PML(N),NA-159
8,Chaudhary Nazeer Ahmad,PML(N),NA-167
9,Tahir Iqbal Ch,PML(N),NA-169
10,Doctor Hafeez Ur Rehman Khan Drishak,PML(N),NA-175
11,Abdul Sattar Bachani,PPPP,NA-223
12,Pir Shafqat Hussain Shah Jilani,PPPP,NA-226
13,Mr. Faqir Sher Muhammad Bilaiani,PPPP,NA-229
14,Mohammad Salman Khan Baloch,MQM,NA-239
15,Sayed Essa Nori,BNP,NA-272
16,Parveen Masood Bhatti,PML(N),(Women)
17,Khalida Mansoor,PML(N),(Women)
18,Dr. Fouzia Hameed,MQM,(Women)
19,Shahnaz Saleem Malik,PML(N),(Women)
