S.no,Name,Party,Constituency
1,Doctor Hafeez Ur Rehman Khan Drishak (Chairman),PML(N),NA-175
2,Dr. Muhammad Azhar Khan Jadoon,PTI,NA-17
3,Qari Mohammad Yousif,JUI-F,NA-22
4,Col. (Retd) Amirullah Marwat,PTI,NA-27
5,Syed Ghazi Gulab Jamal,IND,NA-39
6,Dr. Zulfiqar Ali Bhatti,PML(N),NA-67
7,Dr. Muhammad Afzal Khan Dhandla,PML(N),NA-74
8,Choudhry Muhammad Shahbaz Babar,PML(N),NA-79
9,Dr. Nisar Ahmad Jatt,PML(N),NA-81
10,Muhammad Iqbal Shah,PML(N),NA-154
11,Aijaz Hussain Jakhrani,PPPP,NA-208
12,Dr. Azra Fazal Pechuho,PPPP,NA-213
13,Mr. Abdul Qahar Khan Wadan,PMAP,NA-262
14,Dr. Ramesh Kumar Vankwani,PML(N),(Minority)
15,Mrs. Mahreen Razaque Bhutto,PPPP,(Women)
16,Shaista Pervaiz,PML(N),(Women)
17,Rida Khan,PML(N),(Women)
18,Dr. Nikhat Shakeel Khan,MQM,(Women)
19,Zahra Wadood Fatemi,PML(N),(Women)
20,Shakila Luqman,PML(N),(Women)
