S.no,Name,Party,Constituency
1,Mir Amer Ali Khan Magsi (Chairman),PPPP,NA-206
2,Mr Khial Zaman Orakzai,PTI,NA-16
3,Mr. Nasir Khan,IND,NA-46
4,Malik Muhammad Uzair Khan,PML(N),NA-69
5,Rana Muhammad Afzal Khan,PML(N),NA-82
6,Ch. Abid Raza,PML(N),NA-107
7,Chaudhry Muhammad Munir Azhar,PML(N),NA-163
9,Mian Najeebuddin Awaisi,PML(N),NA-184
10,Mian Imtiaz Ahmad,PML(N),NA-196
12,Sardar Kamal Khan Bangulzai,NP,NA-268
13,Ms Shagufta Jumani,PPPP,(Women)
14,Mrs. Aliya Kamran,JUI-F,(Women)
15,Ms. Suraiya Jatoi,PPPP,(Women)
16,Mrs. Musarat Rafique Mahesar,PPPP,(Women)
18,Reeta Ishwar,PML-F,(Women)
19,Sabiha Nazir,PML(N),(Women)
20,Shakila Luqman,PML(N),(Women)
