S.no,Name,Party,Constituency
1,Dr. Shezra Mansab Ali Khan Kharal (Chairperson),PML(N),NA-137
2,Mr Nasir Khan Khattak,PTI,NA-15
3,Malik Ihtebar Khan,PML(N),NA-58
4,Dr. Muhammad Afzal Khan Dhandla,PML(N),NA-74
5,Dr. Nisar Ahmad Jatt,PML(N),NA-81
6,Sheikh Muhammad Akram,PML(N),NA-89
7,Azhar Qayyum Nahra,PML(N),NA-100
8,Ms. Shazia Mubashar,PML(N),NA-129
10,Rasheed Ahmad Khan,PML(N),NA-140
11,Nadeem Abbas Rebaira,PML(N),NA-143
12,Sardar Ashiq Hussain Gopang,PML(N),NA-180
13,Sayed Essa Nori,BNP,NA-272
14,Nafeesa Inayatullah Khan Khattak,PTI,(Women)
15,Mrs. Shahida Rehmani,PPPP,(Women)
16,Saman Sultana Jafri,MQM,(Women)
17,Arifa Khalid Parvez,PML(N),(Women)
18,Dr. Shazia Sobia,PPPP,(Women)
19,Mrs. Belum Hasnain,PPPP,(Women)
