S.no,Name,Party,Constituency
1,Mr Abdul Majeed Khan (Chairman),PML(N),NA-73
2,Mr Sher Akbar Khan,JI,NA-28
3,Mr Iftikhar ud Din,APML,NA-32
4,Mr Junaid Akbar,PTI,NA-35
5,Mr Qaisar Jamal,PTI,NA-47
6,Malik Ibrar Ahmed,PML(N),NA-54
7,Sardar Muhammad Irfan Dogar,PML(N),NA-134
8,Nadeem Abbas Rebaira,PML(N),NA-143
9,Syed Muhammad Athar Hussain Shah Gillani,PML(N),NA-165
10,Ehsan ur Rehman Mazari,PPPP,NA-210
13,Zafarullah Khan Jamali,PML(N),NA-266
14,Ms. Nafisa Shah,PPPP,(Women)
15,Tariq Christopher Qaiser,PML(N),(Minority)
16,Aasiya Nasir,JUI-F,(Minority)
17,Shaheen Shafiq,PML(N),(Women)
18,Shazia Sohail Mir,PML(N),(Women)
19,Dr. Asma Mamdot,PML(N),(Women)
20,Shaza Fatima Khawaja,PML(N),(Women)
