S.no,Name,Party,Constituency
1,Syed Iftikhar Ul Hassan (Chairman),PML(N),NA-113
2,Engr. Hamid-ul-Haq Khalil,PTI,NA-2
3,Sardar Mumtaz Khan,PML(N),NA-61
4,Chaudhry Khadim Hussain,PML(N),NA-62
5,Nawabzada Raja Matloob Mehdi,PML(N),NA-63
6,Mr Ghulam Muhammad Lali,PML(N),NA-87
7,Nasir Iqbal Bosal,PML(N),NA-109
8,Syed Muhammad Athar Hussain Shah Gillani,PML(N),NA-165
9,Khwaja Ghulam Rasool Koreja,PPPP,NA-192
11,Muhammad Muzammil Qureshi,MQM,NA-253
12,Tahira Aurangzeb,PML(N),(Women)
13,Bhawan Das,PML(N),(Minority)
14,Nighat Parveen,PML(N),(Women)
15,Mrs. Shahida Rehmani,PPPP,(Women)
17,Lal Chand Malhi,PTI,(Minority)
18,Aasiya Nasir,JUI-F,(Minority)
19,Dr. Asma Mamdot,PML(N),(Women)
