S.no,Name,Party,Constituency
1,Syed Imran Ahmad Shah (Chairman),PML(N),NA-160
2,Dr. Imran Khattak,PTI,NA-5
3,Sahibzada Tariq Ullah,JI,NA-33
4,Syed Ghazi Gulab Jamal,IND,NA-39
5,Malik Muhammad Uzair Khan,PML(N),NA-69
6,Lt. Col. (R) Ghulam Rasool Sahi,PML(N),NA-75
7,Justice (Retd) Iftikhar Ahmad Cheema,PML(N),NA-101
8,Muhammad Riaz Malik,PML(N),NA-118
9,Mian Javid Latif,PML(N),NA-133
10,Choudhary Iftikhar Nazir,PML(N),NA-159
11,Syed Imran Ahmad Shah,PML(N),NA-160
12,Sardar Ashiq Hussain Gopang,PML(N),NA-180
13,Nauman Islam Shaikh,PPPP,NA-198
14,Mir Munawar Ali Talpur,PPPP,NA-227
15,Imran Zafar Laghari,PPPP,NA-233
17,Engineer Mohammad Usman Badaini,IND,NA-260
18,Maiza Hameed,PML(N),(Women)
19,Shaheen Shafiq,PML(N),(Women)
20,Tahmina Daultana,PML(N),(Women)
21,Munaza Hassan,PTI,(Women)
