S.no,Name,Party,Constituency
1,Syed Naveed Qamar (Chairman),PPPP,NA-222
2,Engr. Hamid-ul-Haq Khalil,PTI,NA-2
3,Qari Mohammad Yousif,JUI-F,NA-22
4,Mr Sajid Hussain Turi,IND,NA-37
5,Sheikh Rasheed Ahmed,AML,NA-55
6,Mr Amjid Ali Khan,PTI,NA-72
7,Dr. Nisar Ahmad Jatt,PML(N),NA-81
8,Muhammad Riaz Malik,PML(N),NA-118
9,Sardar Muhammad Irfan Dogar,PML(N),NA-134
10,Rasheed Ahmad Khan,PML(N),NA-140
11,Rana Zahid Hussain Khan,PML(N),NA-166
12,Malik Sultan Mehmood Hanjra,PML(N),NA-176
13,Mr. Ghulam Rabbani Khar,PPPP,NA-177
14,Syed Muhammad Saqlain Shah Bukhari,PML(N),NA-182
15,Alam Dad Laleka,PML(N),NA-189
17,Mst. Naseema Hafeez Panezai,PMAP,(Women)
18,Ramesh Lal,PPPP,(Minority)
19,Phyllis Azeem,PML(N),(Women)
