S.no,Name,Party,Constituency
1,Ms Shagufta Jumani (Chairperson),PPPP,(Women)
2,Mr Ali Muhammad Khan,PTI,NA-10
3,Sahibzada Muhammad Yaqub,JI,NA-34
4,Mr Bismillah Khan,IND,NA-43
5,Waheed Alam Khan,PML(N),NA-127
6,Malik Abdul Ghaffar Dogar,PML(N),NA-148
7,Syed Imran Ahmad Shah,PML(N),NA-160
8,Chaudhary Nazeer Ahmad,PML(N),NA-167
9,Sahibzada Faiz Ul Hassan,PML(N),NA-181
10,Syed Amir Ali Shah Jamote,PPPP,NA-221
11,Pir Bux Junejo,PML-F,NA-234
12,Muhammad Kamal Malik,MQM,NA-245
13,Moulvi Agha Muhammad,JUI-F,NA-261
14,Bhawan Das,PML(N),(Minority)
15,Shahida Akhtar Ali,JUI-F,(Women)
16,Tariq Christopher Qaiser,PML(N),(Minority)
17,Mst. Kiran Imran Dar,PML(N),(Women)
18,Ramesh Lal,PPPP,(Minority)
19,Begum Majeeda Wyne,PML(N),(Women)
20,Lal Chand Malhi,PTI,(Minority)
