S.no,Name,Party,Constituency
1,Ch.Tariq Bashir Cheema (Chairman),PML,NA-187
2,Mr Ali Muhammad Khan,PTI,NA-10
3,Mr Usman Khan Tarrakai,AJIP,NA-12
5,Mr. Sar Zamin Khan,PML(N),NA-23
6,Ms Ghulam Bibi Bharwana,PML(N),NA-88
7,Chaudry Armaghan Subhani,PML(N),NA-111
8,Ms. Shazia Mubashar,PML(N),NA-129
9,Chaudhary Muhammad Ashraf,PML(N),NA-161
10,Syed Muhammad Athar Hussain Shah Gillani,PML(N),NA-165
11,Makhdoom Syed Ali Hassan Gillani,PML(N),NA-183
12,Tahir Bashir Cheema,PML(N),NA-190
13,Mr. Aftab Shahban Mirani,PPPP,NA-202
17,Mrs. Aliya Kamran,JUI-F,(Women)
18,Mrs. Musarat Rafique Mahesar,PPPP,(Women)
19,Lal Chand Malhi,PTI,(Minority)
