S.no,Name,Party,Constituency
1,Mr Muhammad Jamal ud Din (Chairman),JUI-F,NA-42
2,Mr Amir Haider Khan,ANP,NA-9
3,Sahibzada Tariq Ullah,JI,NA-33
4,Mr Bilal Rehman,IND,NA-36
5,Mr Muhammad Nazir Khan,PML(N),NA-40
6,Mr Ghalib Khan,PML(N),NA-41
7,Mr Bismillah Khan,IND,NA-43
8,Mr. Nasir Khan,IND,NA-46
9,Mr Qaisar Jamal,PTI,NA-47
10,Mr Ghulam Muhammad Lali,PML(N),NA-87
11,Mian Shahid Hussain Khan Bhatti,PML(N),NA-103
12,Sheikh Fayyaz Ud Din,PML(N),NA-193
13,Mr. Aftab Shahban Mirani,PPPP,NA-202
14,Muhammad Kamal Malik,MQM,NA-245
16,Ms. Suraiya Jatoi,PPPP,(Women)
17,Aaisha Gulalai,PTI,(Women)
18,Begum Tahira Bukhari,PML(N),(Women)
19,Iffat Liaqat,PML(N),(Women)
20,Dr. Asma Mamdot,PML(N),(Women)
