S.no,Name,Party,Constituency
1,Khalid Hussain Magsi (Chairman),PML(N),NA-267
2,Maulana Muhammad Gohar Shah,JUI-F,NA-7
3,Mr Salim Rehman,PTI,NA-30
4,Sahibzada Muhammad Yaqub,JI,NA-34
5,Mr Junaid Akbar,PTI,NA-35
6,Syed Ghazi Gulab Jamal,IND,NA-39
7,Malik Ihtebar Khan,PML(N),NA-58
8,Lt. Col. (R) Ghulam Rasool Sahi,PML(N),NA-75
9,Rana Afzaal Hussain,PML(N),NA-131
10,Rana Muhammad Ishaq Khan,PML(N),NA-141
11,Rao Muhammad Ajmal Khan,PML(N),NA-146
13,Chaudhary Muhammad Tufail,PML(N),NA-162
14,Sardar Mansab Ali Dogar,PML(N),NA-164
15,Nawab Ali Wassan,PPPP,NA-215
16,Syed Kazim Ali Shah,PML-F,NA-217
17,Syed Waseem Hussain,MQM,NA-220
18,Abdul Sattar Bachani,PPPP,NA-223
19,Nawab Muhammad Yousuf Talpur,PPPP,NA-228
20,Mr. Abdul Qahar Khan Wadan,PMAP,NA-262
