S.no,Name,Party,Constituency
1,Syed Mobeen Ahmed (Chairman),PTI,NA-175
2,Haji Imtiaz Ahmed Choudhary,PTI,NA-85
3,Mr. Faiz Ullah,PTI,NA-109
4,Malik Karamat Ali Khokhar,PTI,NA-135
5,Choudhary Faqir Ahmad,PML-N,NA-162
6,Mr. Tahir Iqbal,PTI,NA-164
7,Mr. Niaz Ahmed Jakhar,PTI,NA-188
8,Sardar Muhammad Bux Khan Mahar,PPPP,NA-205
9,Mr. Naveed Dero,PPPP,NA-215
10,Jam Abdul Karim Bijar,PPPP,NA-236
11,Mr. Muhammad Abubakar,MQMP,NA-240
12,Mr. Kamal Uddin,MMAP,NA-262
13,Ms. Aysha Rajab Ali,PML-N,(Women)
14,Mr. Jai Parkash,PTI,(Non-Muslim)
15,Dr. Aisha Ghaus Pasha,PML-N,(Women)
16,Dr. Darshan,PML-N,(Non-Muslim)
17,Ms. Romina Khurshid Alam,PML-N,(Women)
18,Ms. Shahnaz Saleem Malik,PML-N,(Women)
19,Ms. Saira Bano,GDA,(Women)
20,Ms. Asma Qadeer,PTI,(Women)
