S.no,Name,Party,Constituency
1,Ms. Kishwar Zehra (Chairperson),MQMP,(Women)
2,Mr. Saleem Rehman,PTI,NA-3
3,Mr. Muhammad Sajjad,PML-N,NA-14
4,Mr. Mohsin Dawar,Ind,NA-48
5,Mr. Ali Nawaz Awan,PTI,NA-53
6,Mr. Tahir Sadiq,PTI,NA-55
7,Mr. Muhammad Asim Nazir,PTI,NA-101
8,Mr. Rasheed Ahmad Khan,PML-N,NA-138
9,Mr. Ahmad Raza Maneka,PML-N,NA-145
10,Rana Iradat Sharif Khan,PML-N,NA-146
11,Mr. Aamir Talal Gopang,PTI,NA-186
12,Mr. Khawja Sheraz Mehmood,PTI,NA-189
13,Mr. Roshanuddin Junejo,PPPP,NA-217
14,Mir Ghulam Ali Talpur,PPPP,NA-229
15,Mr. Muhammad Abubakar,MQMP,NA-240
16,Syed Mehmood Shah,MMAP,NA-267
17,Mr. Muhammad Hashim Notezai,BNP,NA-268
18,Ms. Mussarat Rafique Mahesar,PPPP,(Women)
19,Ms. Shahnaz Saleem Malik,PML-N,(Women)
20,Ms. Seema Mohiuddin Jameeli,PML-N,(Women)
