S.no,Name,Committees
1,Syed Mobeen Ahmed (Chairman),[Aviation]
2,Haji Imtiaz Ahmed Choudhary,[Aviation]
3,Mr. Faiz Ullah,[Aviation]
4,Malik Karamat Ali Khokhar,[Aviation]
5,Choudhary Faqir Ahmad,[Aviation]
6,Mr. Tahir Iqbal,[Aviation]
7,Mr. Niaz Ahmed Jakhar,"[Aviation,Defence Production]"
8,Sardar Muhammad Bux Khan Mahar,"[Aviation,Economic Affairs Division]"
9,Mr. Naveed Dero,[Aviation]
10,Jam Abdul Karim Bijar,[Aviation]
11,Mr. Muhammad Abubakar,"[Aviation,Cabinet Secretariat]"
12,Mr. Kamal Uddin,[Aviation]
13,Ms. Aysha Rajab Ali,"[Aviation,Climate Change]"
14,Mr. Jai Parkash,"[Aviation,Communications,Energy]"
15,Dr. Aisha Ghaus Pasha,[Aviation]
16,Dr. Darshan,"[Aviation,Communications,Economic Affairs Division]"
17,Ms. Romina Khurshid Alam,"[Aviation,Climate Change]"
18,Ms. Shahnaz Saleem Malik,"[Aviation,Cabinet Secretariat]"
19,Ms. Saira Bano,[Aviation]
20,Ms. Asma Qadeer,"[Aviation,Federal Education, Professional Training, National Heritage and Culture]"
21,Ms. Kishwar Zehra (Chairperson),[Cabinet Secretariat]
22,Mr. Saleem Rehman,[Cabinet Secretariat]
23,Mr. Muhammad Sajjad,[Cabinet Secretariat]
24,Mr. Mohsin Dawar,[Cabinet Secretariat]
25,Mr. Ali Nawaz Awan,[Cabinet Secretariat]
26,Mr. Tahir Sadiq,"[Cabinet Secretariat,Defence]"
27,Mr. Muhammad Asim Nazir,"[Cabinet Secretariat,Commerce]"
28,Mr. Rasheed Ahmad Khan,"[Cabinet Secretariat,Commerce]"
29,Mr. Ahmad Raza Maneka,[Cabinet Secretariat]
30,Rana Iradat Sharif Khan,"[Cabinet Secretariat,Commerce]"
31,Mr. Aamir Talal Gopang,"[Cabinet Secretariat,Communications,Federal Education, Professional Training, National Heritage and Culture]"
