S.no,Name,Party,Constituency
1,Mr. Khursheed Ahmed Junejo (Chairman),PPPP,NA-201
2,Mr. Muhammad Yaqoob Shaikh,PTI,NA-39
3,Mr. Usman Ibrahim,PML-N,NA-82
4,Mr. Muhammad Asim Nazir,PTI,NA-101
5,Mr. Raza Nasrullah,PTI,NA-105
6,Mr. Khurram Shahzad,PTI,NA-107
7,Ms. Shaista Pervaiz Malik,PML-N,NA-133
8,Mr. Rasheed Ahmad Khan,PML-N,NA-138
9,Rana Iradat Sharif Khan,PML-N,NA-146
10,Mr. Ahmed Hussain Deharr,PTI,NA-154
11,Mian Muhammad Shafiq,PTI,NA-161
12,Mr. Khursheed Ahmed Junejo,PPPP,NA-201
13,Syed Javed Ali Shah Jillani,PPPP,NA-210
14,Mir Munawar Ali Talpur,PPPP,NA-219
15,Mr. Mohammad Aslam Bhootani,Ind,NA-272
16,Ms. Tahira Aurangzeb,PML-N,(Women)
17,Ms. Sajida Begum,PTI,(Women)
18,Mr. Ramesh Kumar Vankwani,PTI,(Non-Muslim)
19,Ms. Shaza Fatima Khawaja,PML-N,(Women)
20,Ms. Wajiha Qamar,PTI,(Women)
21,Ms. Farukh Khan,PML,(Women)
