S.no,Name,Party,Constituency
1,Chaudhry Iftikhar Nazir (Chairman),PML-N,NA-153
2,Prince Muhammad Nawaz Allai,PTI,NA-12
3,Mr. Muhammad Anwar,MMAP,NA-36
4,Mr. Hussain Elahi,PML,NA-68
5,Chaudhry Abid Raza,PML-N,NA-71
6,Ch Mahmood Bashir Virk,PML-N,NA-80
7,Mr. Nasir Iqbal Bosal,PML-N,NA-86
8,Mr. Rahat Aman Ullah Bhatti,PTI,NA-119
9,Mr. Nadeem Abbas,PML-N,NA-141
10,Syed Mobeen Ahmed,PTI,NA-175
11,Mr. Niaz Ahmed Jakhar,PTI,NA-188
13,Mr. Irfan Ali Laghari,PPPP,NA-234
14,Mr. Rafique Ahmed Jamali,PPPP,NA-235
15,Mr. Saif Ur Rehman,PTI,NA-242
16,Ms. Sajida Begum,PTI,(Women)
17,Mr. Naveed Aamir Jeeva,PPPP,(Non-Muslim)
