S.no,Name,Party,Constituency
1,Chaudhary Farrukh Altaf (Chairman),PTI,NA-66
2,Mr. Tahir Sadiq,PTI,NA-55
3,Syed Faiz Ul Hassan,PTI,NA-70
4,Mr. Amjad Ali Khan,PTI,NA-96
5,Ch Muhammad Barjees Tahir,PML-N,NA-117
6,Rana Muhammad Ishaq Khan,PML-N,NA-139
7,Mr. Muhammad Khan Daha,PML-N,NA-151
8,Mr. Aurangzeb Khan Khichi,PTI,NA-165
9,Mr. Alam Dad Laleka,PML-N,NA-167
10,Mr. Khursheed Ahmed Junejo,PPPP,NA-201
11,Mr. Aftab Shahban Mirani,PPPP,NA-202
12,Mir Amer Ali Khan Magsi,PPPP,NA-203
14,Dr. Khalid Maqbool Siddiqui,MQMP,NA-255
15,Mr. Salahuddin Ayubi,MMAP,NA-263
16,Mr. Muhammad Hashim Notezai,BNP,NA-268
17,Ms. Rubina Irfan,BAP,(Women)
18,Mr. Ramesh Kumar Vankwani,PTI,(Non-Muslim)
19,Ms. Kanwal Shauzab,PTI,(Women)
