S.no,Name,Party,Constituency
1,Mian Najeeb Ud Din Awaisi (Chairman),PML-N,NA-173
2,Chaudhary Farrukh Altaf,PTI,NA-66
3,Mr. Ali Zahid,PML-N,NA-74
4,Syed Javed Hasnain,PML-N,NA-92
5,Mr. Qaiser Ahmed Sheikh,PML-N,NA-100
6,Mr. Khursheed Ahmed Junejo,PPPP,NA-201
7,Sardar Muhammad Bux Khan Mahar,PPPP,NA-205
8,Pir Ameer Ali shah Jeelani,PPPP,NA-221
10,Mr. Aftab Jehangir,PTI,NA-252
11,Mr. Muhammad Aslam Khan,PTI,NA-254
12,Mir Khan Muhammad Jamali,PTI,NA-261
13,Prof. Dr. Shahnaz Baloch,BNP,(Women)
14,Dr. Darshan,PML-N,(Non-Muslim)
15,Ms. Shahida Akhtar Ali,MMAP,(Women)
16,Ms. Shaheen Naz Saifullah,PTI,(Women)
17,Ms. Aliya Hamza Malik,PTI,(Women)
18,Dr. Seemi Bukhari,PTI,(Women)
