S.no,Name,Party,Constituency
1,Makhdoom Syed Sami Ul Hassan Gillani (Chairman),PTI,NA-174
2,Ms. Mehnaz Akber Aziz,PML-N,NA-77
3,Dr. Nisar Ahmad Cheema,PML-N,NA-79
4,Ch. Muhammad Hamid Hameed,PML-N,NA-90
5,Dr. Muhammad Afzal Khan Dhandla,PTI,NA-98
6,Mr. Muhammad Abdul Ghafar Wattoo,PTI,NA-166
7,Mian Najeeb Ud Din Awaisi,PML-N,NA-173
8,Makhdoom Syed Sami Ul Hassan Gillani,PTI,NA-174
9,Mr. Aamir Talal Gopang,PTI,NA-186
11,Ms. Mussarat Rafique Mahesar,PPPP,(Women)
12,Ms. Zahra Wadood Fatemi,PML-N,(Women)
13,Dr. Shazia Sobia Aslam Soomro,PPPP,(Women)
14,Ms. Kiran Imran Dar,PML-N,(Women)
15,Ms. Shamim Ara Panhwar,PPPP,(Women)
16,Ms. Musarrat Asif Khawaja,PML-N,(Women)
17,Dr. Samina Matloob,PML-N,(Women)
18,Ms. Asma Qadeer,PTI,(Women)
19,Ms. Javaria Zafar Aheer,PTI,(Women)
20,Ms. Tashfeen Safdar,PTI,(Women)
21,Ms. Farukh Khan,PML,(Women)
